Energy (GeV),Mass (GeV),Cross Section / C_{\mu 	au}^2 (fb)
631,9.559999999999999,0.3782085320995184
631,9.92,0.33296555575713344
631,10.28,0.29347257149800876
631,10.64,0.25885120235855025
631,11.0,0.2284736550844445
631,11.36,0.20180839866242625
631,11.719999999999999,0.17837328375262435
631,12.08,0.1577506507107976
631,12.44,0.13958961860816857
631,12.799999999999999,0.12356658391047073
631,13.16,0.10940930464196535
631,13.52,0.09688651706131221
631,13.879999999999999,0.08578559190653381
631,14.24,0.0759432755475438
631,14.6,0.06721254829437293
631,14.959999999999999,0.059463546150047286
631,15.32,0.05258683833581139
631,15.68,0.04648137817918324
631,16.04,0.041060794340355464
631,16.4,0.03625186267300164
631,16.759999999999998,0.031981263048164114
631,17.119999999999997,0.02819029540437389
631,17.479999999999997,0.024827060696976773
631,17.84,0.02184129014174021
631,18.2,0.019196000579409022
631,18.56,0.016850608843627272
631,18.919999999999998,0.014772749244026558
631,19.28,0.01293337569387539
631,19.64,0.011306477248555618
631,20.0,0.00986923208892952
631,21.0,0.006698896127228279
631,22.0,0.004473505067708188
631,23.0,0.0029269821914241767
631,24.0,0.0018671762621732073
631,25.0,0.0011536311052841065
631,26.0,0.0006839270176260971
631,27.0,0.00038400511967083946
631,28.0,0.00020034258129277067
